Station,ID,Elev (feet),Latitude,Longitude,County,River Basin,
GEM PASS,GEM,10750,37.78,-119.17,MONO,MONO LAKE,
GEORGETOWN RS (USFS),GRG,3001,38.933,-120.8,EL DORADO,AMERICAN R,
GERBER,GBR,9999,42.205,-121.13,SISKIYOU,KLAMATH R,
GIANELLI MEADOW,GNL,8400,38.204308,-119.893188,TUOLUMNE,STANISLAUS R,
GIANT FOREST,GFR,6400,36.57,-118.768,TULARE,KAWEAH R,
GIANT FOREST (USACE),GNF,6650,36.562,-118.765,TULARE,KAWEAH R,
GIBRALTAR DAM,GBL,1399,34.526,-119.686,SANTA BARBARA,SANTA YNEZ R,
GIBSON,GIB,1633,41.0225,-122.3992,SHASTA,SACRAMENTO R,
GIBSON MAINTENANCE STATION,GBS,1650,41.025,-122.41,SHASTA,SACRAMENTO R,
GIBSONVILLE,GBN,5400,39.725,-120.932,SIERRA,YUBA R,
GIN FLAT (COURSE),GFL,7000,37.765,-119.773,MARIPOSA,MERCED R,
GLENBROOK 2 (NEVADA),GL2,6900,39.083,-119.908,State of Nevada,LAKE TAHOE,
GLENVILLE FS,GLV,3140,35.717,-118.7,KERN,KERN R,
GRANT GROVE,GNG,6600,36.742,-118.963,TULARE,KINGS R,
GRANT GROVE,GRO,6600,36.733,-118.967,TULARE,KINGS R,
GRANT LAKE,GNT,7140,37.862,-119.102,MONO,MONO LAKE,
GRASS VALLEY,GSV,2400,39.217,-121.067,NEVADA,YUBA R,
GRAY ROCK LAKES,GYR,6200,41.217,-122.417,SISKIYOU,SACRAMENTO R,
GRIZZLY RIDGE,GRZ,6900,39.917,-120.645,PLUMAS,FEATHER R,
GROVELAND R S,GVL,3145,37.817,-120.1,TUOLUMNE,TUOLUMNE R,
GROVER HOT SPRINGS,GHS,5820,38.694,-119.817,ALPINE,CARSON R,
GUYOT FLAT,GYF,10650,36.523,-118.348,TULARE,KERN R,
HAIWEE,HWE,3774,36.137,-117.948,INYO,OWENS R,
HAMS STATION,HMS,5500,38.543,-120.377,AMADOR,MOKELUMNE R,
HANFORD REFINERY,HND,242,36.333,-119.667,KINGS,TULARE LAKE,
HAPPY CAMP RS,HAP,1120,41.8,-123.367,SISKIYOU,KLAMATH R,
HARKNESS FLAT,HRF,6200,40.418,-121.275,LASSEN,FEATHER R,
HARRISON GULCH RS,HRR,2750,40.367,-122.967,SHASTA,SACTO VLY WEST,
HAT CREEK #1 PH (PG&E),HTC,3015,40.933,-121.55,LASSEN,PIT R,
HEART LAKE,HRT,10100,37.272,-118.877,FRESNO,SAN JOAQUIN R,
HELL HOLE (PCWA),HHL,4630,39.058,-120.407,PLACER,AMERICAN R,
HELLS KITCHEN,HLK,6550,38.417,-120.1,CALAVERAS,STANISLAUS R,
HELMS MEADOW,HLM,8250,37.122,-119.005,FRESNO,KINGS R,
HENDRICKS CANAL,HDC,9999,39.934,-121.529,BUTTE,FEATHER R,
HENSHAW,HNS,2740,33.24,-116.762,SAN DIEGO,SAN DIEGO R,
HENSHAW DAM,HSD,2700,33.233,-116.767,SAN DIEGO,SAN DIEGO R,
HERRING CREEK,HRG,7300,38.242,-119.942,TUOLUMNE,STANISLAUS R,
HETCH HETCHY,HTH,3870,37.95,-119.783,TUOLUMNE,TUOLUMNE R,
HIDDEN DAM (HENSLEY),HID,561,37.2,-119.917,MADERA,FRESNO R,
HIGHLAND LAKES,HIG,6030,41.093,-122.483,TRINITY,TRINITY R,
HIGHLAND MEADOW,HHM,8700,38.487312,-119.805748,ALPINE,MOKELUMNE R,
HOCKETT MEADOW (USACE),HCK,8500,36.371,-118.651,TULARE,KAWEAH R,
HOCKETT MEADOWS,HKM,8500,36.382,-118.655,TULARE,KAWEAH R,
HOLLISTER,HLS,275,36.844,-121.424,SAN BENITO,PAJARO R,
HOOPA,HOO,333,41.05,-123.667,HUMBOLDT,TRINITY R,
HORSE CORRAL MEADOW,HCM,7600,36.752,-118.75,FRESNO,KINGS R,
HORSE MEADOW,HRS,8400,38.158,-119.662,TUOLUMNE,TUOLUMNE R,
HOSSACK,HSS,7100,36.181,-118.619,TULARE,TULE R,
HUCKLEBERRY LAKE,HCL,7800,38.102,-119.745,TUOLUMNE,TUOLUMNE R,
HUMBUG SUMMIT 2,HS2,4850,40.187,-121.298,PLUMAS,FEATHER R,
HUNTINGTON LAKE,HTT,7000,37.228,-119.222,FRESNO,SAN JOAQUIN R,
HUNTINGTON LAKE (USBR),HNT,7000,37.228,-119.221,FRESNO,SAN JOAQUIN R,
HUYSINK,HYS,6600,39.282,-120.527,PLACER,AMERICAN R,
ICE HOUSE,IHS,5300,38.812,-120.375,EL DORADO,AMERICAN R,
ICE HOUSE (SMUD),ICH,5454,38.824,-120.359,EL DORADO,AMERICAN R,
IMPERIAL VALLEY,IMP,-64,32.85,-115.57,IMPERIAL,COLORADO R,
INDEPENDENCE,IPN,3950,36.798,-118.204,INYO,OWENS R,
INDEPENDENCE LAKE,INL,6952,39.45,-120.283,SIERRA,TRUCKEE R,
INDIAN VALLEY,INV,1502,39.083,-122.533,LAKE,CACHE CR,
IRON CANYON,IRC,2675,41.045,-121.981,SHASTA,PIT R,
ISABELLA DAM,ISB,2635,35.646,-118.473,KERN,KERN R,
ISLIP 2,IS2,7400,34.355,-117.84,LOS ANGELES,MOJAVE DESERT,
JACKASS MEADOW,JCM,6950,37.497,-119.33,MADERA,SAN JOAQUIN R,
JACKSON MEADOWS (NEVADA CO WD),JCK,6037,39.509,-120.552,NEVADA,YUBA R,
JACKSON MEADOWS (SNOW COURSE),JKM,5950,39.5,-120.553,NEVADA,YUBA R,
JENKINSON LAKE,JNK,3482,38.713,-120.56,EL DORADO,COSUMNES R,
JESS VALLEY,JSV,5300,41.27,-120.3,MODOC,PIT R,
JUDGE F CARR PH,JCR,9999,40.647,-122.626,SHASTA,SACTO VLY WEST,
JUNCAL DAM,JNL,2075,34.483,-119.5,SANTA BARBARA,SANTA YNEZ R,
JUNCTION MEADOW,JNM,8250,36.755,-118.438,FRESNO,KINGS R,
KAISER PASS,KSR,9100,37.295,-119.102,FRESNO,SAN JOAQUIN R,
KAWEAH R-TERMINUS DM,KWT,475,36.412,-119.003,TULARE,KAWEAH R,
KENT,KNT,415,37.997,-122.702,MARIN,COAST-MARIN,
KERN PH 3,KP3,2703,35.775902,-118.436058,KERN,KERN R,
KERN R INTAKE NO. 3,KR3,3650,35.95,-118.48,KERN,KERN R,
KERN R-BAKERSFIELD,KRB,9999,35.432,-118.945,KERN,KERN R,
KERN R-BLW ISABELLA,KRI,2435,35.639,-118.484,KERN,KERN R,
KERRICK CORRAL,KRC,7000,38.177,-119.96,TUOLUMNE,TUOLUMNE R,
KESWICK RESERVOIR,KES,596,40.612104,-122.445699,SHASTA,SACRAMENTO R,
KETTLE ROCK,KTL,7300,40.14,-120.715,PLUMAS,FEATHER R,
KINGS R-PINE FLAT DAM,KGF,970,36.831,-119.335,FRESNO,KINGS R,
KLAMATH R AT IRON GATE,KLI,2162,41.928,-122.443,SISKIYOU,KLAMATH R,
KLAMATH R AT ORLEANS,KLO,356,41.304,-123.533,ALPINE,KLAMATH R,
KLAMATH RIVER AT ORLEANS,OLS,430,41.303459,-123.5345,HUMBOLDT,KLAMATH R,
LAGUNA BEACH,LGB,35,33.547,-117.78,ORANGE,SANTA ANA R,
LAGUNITAS LAKE,LGT,799,37.947,-122.597,MARIN,COAST-MARIN,
LAKE ALMANOR,ALM,4600,40.218,-121.173,PLUMAS,FEATHER R,
LAKE ARROWHEAD,ARR,5205,34.25,-117.183,SAN BERNARDINO,MOJAVE DESERT,
LAKE AUDRAIN,ABN,7300,38.81983,-120.03932,EL DORADO,AMERICAN R,
LAKE BRITTON,BIT,2744,41.022,-121.676,SHASTA,PIT R,
LAKE CROWLEY,CRW,6797,37.604,-118.707,MONO,OWENS R,
LAKE DAVIS (DWR),DAV,5768,39.883,-120.467,PLUMAS,FEATHER R,
LAKE ELEANOR,ENR,4660,37.974,-119.88,TUOLUMNE,TUOLUMNE R,
LAKE FORDYCE,FOD,6500,39.36,-120.5,NEVADA,YUBA R,
LAKE HAVASU,HVS,451,34.317,-114.156,SAN BERNARDINO,COLORADO R,
LAKE HEMET,HMT,4202,33.666,-116.705,RIVERSIDE,SAN JACINTO R,
LAKE HENNESSEY,HNN,331,38.482,-122.372,NAPA,NAPA R,
LAKE HODGES,HDG,315,33.046,-117.128,SAN DIEGO,SAN DIEGUITO R,
LAKE JENNINGS,JNN,707,32.854,-116.892,SAN DIEGO,SAN DIEGO R,
LAKE LUCILLE,LLL,8200,38.86,-120.112,EL DORADO,LAKE TAHOE,
LAKE MATHEWS,MHW,1404,33.833,-117.46,RIVERSIDE,SANTA ANA AB NARROWS,
LAKE MC SWAIN,MCS,425,37.52,-120.309,MARIPOSA,MERCED R,
LAKE MCCLOUD,MCO,2700,41.135,-122.074,SHASTA,MC CLOUD R,
LAKE MCCLURE,MCR,867,37.584,-120.267,MARIPOSA,MERCED R,
LAKE MEAD,MEA,3700,36.016,-114.736,State of Arizona,COLORADO R,
LAKE MENDOCINO,MNC,760,39.199,-123.182,MENDOCINO,RUSSIAN R,
LAKE MOHAVE,MHV,644,35.197,-114.567,State of Nevada,COLORADO R,
LAKE NATOMA (NIMBUS DAM),NAT,132,38.65,-121.183,SACRAMENTO,AMERICAN R,
LAKE PALMDALE,LPA,2980,34.5372,-118.1014,LOS ANGELES,MOJAVE DESERT,
LAKE PILLSBURY,PLL,1807,39.408,-122.958,LAKE,EEL R,
LAKE PIRU,PRU,213,34.461,-118.751,VENTURA,PIRU CR,
LAKE POWELL,PWL,3700,36.937,-111.493,State of Arizona,COLORADO R,
LAKE SABRINA,SBN,9065,37.217,-118.617,INYO,OWENS R,
LAKE SAN ANTONIO,ATN,779,35.798,-120.883,MONTEREY,SALINAS R,
LAKE SILVERWOOD,SLW,3331,34.304,-117.318,SAN BERNARDINO,MOJAVE R,
LAKE SPAULDING,SPD,5200,39.317,-120.642,PLACER,YUBA R,
LAKE SPAULDING (PG&E),LSP,5156,39.317,-120.633,NEVADA,YUBA R,
LAKE SPAULDING S YUBA SYSTEM,BWS,5390,39.441,-120.658,NEVADA,YUBA R,
LAKE TAHOE,TAH,6221,39.181,-120.118,PLACER,TRUCKEE R,
LAKE THOMAS A EDISON,THE,7800,37.382,-119.02,FRESNO,SAN JOAQUIN R,
LAKE VALLEY CANAL,LVC,5410,39.299,-120.642,PLACER,AMERICAN R,
LAKE VALLEY RESERVOIR,LVY,5855,39.3,-120.583,PLACER,AMERICAN R,
LANCASTER FSS FAA,LNC,2340,99.999,-999.999,LOS ANGELES,MOJAVE DESERT,
LEAVITT LAKE,LVT,9600,38.282,-119.621,MONO,WALKER R,
LEMON COVE,LMC,513,36.383,-119.033,TULARE,KAWEAH R,
LEROY ANDERSON,LRA,640,37.165,-121.632,SANTA CLARA,SANTA CLARA VLY,
LETTERBOX,LTT,5600,39.857,-121.263,PLUMAS,FEATHER R,
LEWISTON,LEW,1870,40.727,-122.793,TRINITY,TRINITY R,
LEWISTON FISH HATCHERY,LFH,1870,40.727,-122.793,TRINITY,TRINITY R,
LEXINGTON,LXN,5600,39.68,-121.005,none specified,YUBA R,
LEXINGTON RESERVOIR,LNG,659,37.202,-121.988,SANTA CLARA,SANTA CLARA VLY,
LINDSAY,LND,420,36.2,-119.05,TULARE,TULARE LAKE,
LITTLE GRASS VALLEY,LGV,5047,39.724,-121.019,PLUMAS,FEATHER R,
LITTLE SHASTA,LSH,6200,41.808,-122.195,SISKIYOU,SHASTA R,
LITTLE WHITNEY MEADOW,LWM,8500,36.378,-118.347,TULARE,KERN R,
LOBDELL LAKE,LBD,9200,38.44,-119.377,MONO,WALKER R,
LODGEPOLE,LDG,6735,36.6,-118.733,TULARE,KAWEAH R,
LONG MEADOW (KINGS R),LMD,8500,37.13,-118.92,FRESNO,KINGS R,
LOON LAKE (SMUD),LON,6410,38.983,-120.323,EL DORADO,AMERICAN R,
LOS ANGELES CIVIC CENTER,LCC,270,34.05,-118.233,LOS ANGELES,LOS ANGELES R,
LOS ANGELES-WSO AIRPORT,LAN,100,33.933,-118.4,LOS ANGELES,VENTURA LA COASTAL,
LOS BANOS,LSB,120,37.05,-120.867,MERCED,SAN JOAQUIN FLOOR,
LOS VAQUEROS RESERVOIR,LVQ,472,37.838,-121.726,CONTRA COSTA,KELLOGG CREEK,
LOST CORNER MOUNTAIN,LCR,7500,39.017,-120.215,EL DORADO,AMERICAN R,
LOVELAND RESERVOIR,LVD,1366,32.779,-116.792,SAN DIEGO,SWEETWATER R,
LOWER BEAR,LWB,5824,38.538,-120.257,AMADOR,MOKELUMNE R,
LOWER CARSON PASS,LCP,8400,38.693,-119.998,ALPINE,AMERICAN R,
LOWER CRYSTAL SPRINGS RESERVOIR,CRY,293,37.53,-122.36,SAN MATEO,SAN MATEO CREEK,
LOWER KIBBIE,LKB,6700,38.033,-119.878,TUOLUMNE,TUOLUMNE R,
LOWER LASSEN PEAK,LLP,8250,40.466602,-121.50811,SHASTA,FEATHER R,
LOWER OTAY,LOT,485,32.609,-116.927,SAN DIEGO,OTAY R,
LOWER RELIEF VALLEY,REL,8100,38.242917,-119.762917,TUOLUMNE,STANISLAUS R,
LUMBERYARD 2,LB2,6500,38.545,-120.305,AMADOR,MOKELUMNE R,
LYONS CREEK,LYN,6700,38.812,-120.243,EL DORADO,AMERICAN R,
LYONS RESERVOIR,LYS,4134,38.094,-120.166,TUOLUMNE,STANISLAUS R,
LYTLE CREEK R S,LYT,2730,34.233,-117.483,SAN BERNARDINO,SANTA ANA R,
MADERA,MDR,270,36.95,-120.033,MADERA,SAN JOAQUIN FLOOR,
MAMMOTH,MMT,8300,37.62,-118.992,MONO,OWENS R,
MAMMOTH PASS (LADWP),MAM,9300,37.61,-119.033,MONO,OWENS R,
MAMMOTH POOL,MPL,3330,37.329,-119.328,FRESNO,SAN JOAQUIN R,
MANZANITA LAKE,MZL,5850,40.533,-121.567,SHASTA,PIT R,
MARIPOSA RANGER STATION,MRP,2250,37.504166,-119.986946,MARIPOSA,MERCED R,
MARKLEEVILLE,MKV,5530,38.7,-119.783,ALPINE,CARSON R,
MARTIS CREEK RESERVOIR,MRT,5745,39.327,-120.113,NEVADA,TRUCKEE R,
MATILIJA DAM,MAT,1138,34.486,-119.307,VENTURA,VENTURA R,
MCCLOUD,MLD,3280,41.25,-122.133,SHASTA,MC CLOUD R,
MCCLOUD RIVER ABOVE SHASTA LAKE,MSS,1100,40.958,-122.219,SHASTA,MC CLOUD R,
MCCLOUD TUNNEL,MCT,9999,41.135,-122.074,SHASTA,MC CLOUD R,
MCELROY PASS,MCP,5300,40.695,-121.48,SHASTA,PIT R,
MEADOW LAKE,MWL,7200,39.417,-120.508,NEVADA,YUBA R,
MEDICINE LAKE,MDC,6700,41.587,-121.613,SISKIYOU,PIT R,
MERCED,MFS,153,37.283,-120.517,MERCED,SAN JOAQUIN FLOOR,
MERCED R NR MERCED FALLS,MRC,311,37.522,-120.331,MERCED,MERCED R,
MERCED RIVER-NORTH SIDE CANAL,MDS,9999,37.52,-120.309,MERCED,MERCED R,
MIDDLE BOULDER 1,MBL,6600,41.217,-122.807,SISKIYOU,SCOTT R,
MIDDLE BOULDER 3,MB3,6200,41.225,-122.811,SISKIYOU,SCOTT R,
MILL CREEK FLAT,MLF,5900,39.942,-121.19,PLUMAS,FEATHER R,
MINARETS 2,MN2,9000,37.663,-119.017,MONO,OWENS R,
MINERAL (OBSERVER),MNR,4875,40.35,-121.6,TEHAMA,SACTO VLY NE,
MINERAL KING,MNK,8000,36.437,-118.587,TULARE,KAWEAH R,
MIOCENE CANAL,MIC,1000,39.69,-121.56,BUTTE,FEATHER R,
MIRAMAR,MMR,720,32.9,-117.1,SAN DIEGO,SAN DIEGO R,
MIRANDA CABIN,MCB,6200,39.12,-120.362,PLACER,AMERICAN R,
MOCCASIN,MCN,938,37.810184,-120.299006,TUOLUMNE,TUOLUMNE R,
MODESTO IRRIG DISTRICT OFFICE,MDE,91,37.65,-121.001,STANISLAUS,TUOLUMNE R,
MODESTO RESERVOIR,MDO,210,37.657,-120.675,STANISLAUS,TUOLUMNE R,
MOKELUMNE-MOKELUMNE HILL,MKM,575,38.313,-120.719,AMADOR,MOKELUMNE R,
MONO PASS,MNP,11450,37.438,-118.773,FRESNO,SAN JOAQUIN R,
MONTEREY AIRPORT,MTY,217,36.590557,-121.847504,MONTEREY,CARMEL R,
MORENA DAM,MOR,3053,32.683,-116.55,SAN DIEGO,SAN DIEGO R,
MOUNT DYER 1,MDY,7100,40.243,-121.035,LASSEN,FEATHER R,
MOUNT DYER 2,MD2,6050,40.258,-121.047,LASSEN,FEATHER R,
MOUNT HAMILTON,HML,4206,37.333,-121.65,SANTA CLARA,SF BAY,
MOUNT HOUGH,MHG,6700,40.042,-120.878,PLUMAS,FEATHER R,
MOUNT ROSE,MRO,9000,39.353,-119.898,State of Nevada,TRUCKEE R,
MOUNT SHASTA,MSH,7900,41.372,-122.23,SISKIYOU,SACRAMENTO R,
MOUNT SHASTA CITY,MSC,3590,41.317,-122.317,SISKIYOU,SACRAMENTO R,
MOUNT STOVER,MSV,5600,40.293,-121.292,PLUMAS,FEATHER R,
MOUNT WILSON NO 2,WLS,5709,34.233,-118.067,LOS ANGELES,VENTURA LA COASTAL,
MOUNTAIN HOME,MNH,5400,36.242,-118.71,TULARE,TULE R,
MOUNTAIN MEADOWS,MMW,5046,40.283,-121.017,LASSEN,FEATHER R,
MOUNTAIN PASS,MTP,4730,35.467,-115.533,SAN BERNARDINO,MOJAVE DESERT,
MUMBO BASIN,MUM,5650,41.197,-122.523,TRINITY,TRINITY R,
MURRAY RES,MRR,542,32.782,-117.047,SAN DIEGO,SAN DIEGO R,
NACIMIENTO,NCM,784,35.758,-120.884,SAN LUIS OBISPO,NACIMIENTO R,
NACIMIENTO R BLW DAM,NCD,597,35.761356,-120.855461,SAN LUIS OBISPO,NACIMIENTO R,
NAPA FIRE DEPARTMENT,NSH,35,38.283,-122.267,NAPA,NAPA R,
NAPA R NR ST HELENA,NPH,170,38.498,-122.427,NAPA,NAPA R,
NEEDLES,NDL,480,34.833,-114.6,SAN BERNARDINO,COLORADO R,
NELLIE LAKE,NLL,8000,37.257,-119.225,FRESNO,SAN JOAQUIN R,
NEVADA CITY,NVD,2781,39.25,-121.001,NEVADA,YUBA R,
NEW BULLARDS BAR,BUL,1965,39.393,-121.14,YUBA,YUBA R,
NEW EXCHEQUER-LK MCCLURE,EXC,879,37.585,-120.27,MARIPOSA,MERCED R,
NEW GRACE MEADOW,NGM,8900,38.15,-119.617,TUOLUMNE,TUOLUMNE R,
NEW HOGAN LAKE,NHG,554,38.152,-120.812,CALAVERAS,CALAVERAS R,
NEW MANZANITA LAKE,NMN,5900,40.533,-121.562,SHASTA,PIT R,
NEW MELONES DAM HQ,NMQ,960,38,-120.49,TUOLUMNE,STANISLAUS R,
NEW MELONES RESERVOIR,NML,1135,37.9481,-120.525,CALAVERAS,STANISLAUS R,
NIAGARA FLAT,NGF,6500,38.327,-119.912,TUOLUMNE,STANISLAUS R,
NICASIO,NCA,180,38.075,-122.757,MARIN,COAST-MARIN,
NILAND,NLD,-60,33.283,-115.517,IMPERIAL,COLORADO R,
NORTH FORK R S,NFR,2630,37.233,-119.5,MADERA,SAN JOAQUIN R,
NORTH FORK SACRAMENTO R,NFS,6900,41.305,-122.493,TRINITY,SACRAMENTO R,
NORTH LAKE,NTH,9300,37.228,-118.62,INYO,OWENS R,
NORTHERN SIERRA 8-STATION PRECIP INDEX,8SI,0,39.9,-120.9,PLUMAS,SACRAMENTO R,
NORVELL FLAT,NRF,5700,40.482,-121.007,LASSEN,SUSAN R,
OAKDALE CANAL,OKC,350,37.859,-120.632,TUOLUMNE,TUOLUMNE R,
OATS MEADOW,OWW,5000,39.711728,-120.971153,PLUMAS,FEATHER R,
OCEANSIDE MARINA,OSM,10,33.217,-117.4,SAN DIEGO,SAN DIEGO R,
OLD ENTERPRISE MILL,OEM,6600,36.243,-118.678,TULARE,TULE R,
ONEILL FOREBAY,ONF,225,37.067,-121.067,MERCED,SAN JOAQUIN VLY WEST,
ONION CREEK,ONN,6100,39.275,-120.358,PLACER,AMERICAN R,
ORLAND,ORL,254,39.75,-122.2,GLENN,SACTO VLY WEST,
OROVILLE DAM,ORO,900,39.54,-121.493,BUTTE,FEATHER R,
OROVILLE-THERMALITO COMPLEX,ORT,9999,39.54,-121.493,BUTTE,FEATHER R,
OSTRANDER LAKE,STR,8200,37.637,-119.55,MARIPOSA,MERCED R,
OWENS RIVER BELOW TINEMAHA RESERVOIR,OTR,3882,37.058,-118.225,INYO,OWENS R,
OWENS RIVER-LONG VLY,OWL,2065,37.5875,-118.7084,MONO,OWENS R,
OXNARD,OXN,49,34.2,-119.183,VENTURA,SANTA CLARA R,
